year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2001,115,7.9,41988,61.0,134.0,69.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,91,5.0,3921,63.0,156.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2001,86,6.5,6288,55.0,136.0,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,94,6.9,1470,47.0,31.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,96,6.3,180089,59.0,588.0,154.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,86,7.3,18519,71.0,111.0,57.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,86,4.7,12398,20.0,108.0,61.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,106,7.3,8470,69.0,42.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,93,5.8,224,58.0,14.0,13.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,101,6.5,10923,78.0,181.0,95.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,113,7.2,4355,61.0,46.0,61.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,150,7.7,5939,72.0,27.0,22.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2001,113,6.4,4013,38.0,84.0,27.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,99,6.6,1309,75.0,26.0,30.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,108,7.0,10154,58.0,101.0,54.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2001,98,5.5,9857,42.0,87.0,52.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,95,5.4,17302,15.0,127.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,90,6.5,338,63.0,23.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,98,7.2,36152,75.0,165.0,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,92,2.8,2091,30.0,15.0,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2001,120,7.4,173235,49.0,555.0,132.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2001,131,7.4,36911,86.0,515.0,179.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,111,6.3,125180,52.0,328.0,117.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2001,100,7.1,94874,48.0,354.0,106.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,98,5.8,298,45.0,19.0,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,104,4.9,13927,27.0,295.0,110.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,115,6.2,7966,56.0,122.0,63.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,113,8.0,728383,88.0,2286.0,374.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2001,114,5.3,497,43.0,18.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,112,5.8,1489,58.0,30.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,106,6.7,2900,53.0,60.0,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,131,7.0,69830,43.0,307.0,103.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,87,5.2,1669,36.0,40.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,89,6.4,16552,22.0,93.0,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2001,109,7.2,7821,72.0,88.0,60.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,90,7.1,1024,74.0,11.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,85,4.2,3955,34.0,78.0,45.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2001,95,7.7,31483,85.0,237.0,118.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,93,6.3,52647,29.0,113.0,37.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,93,4.2,1928,47.0,80.0,28.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,132,6.9,1205,58.0,11.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,108,6.4,236374,43.0,436.0,131.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,7.3,9128,60.0,53.0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,5.8,568,46.0,24.0,21.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,109,6.5,32860,66.0,283.0,129.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,101,6.9,35999,55.0,291.0,114.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,97,7.1,1333,68.0,31.0,27.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,88,6.2,1274,51.0,67.0,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,86,6.8,4654,50.0,16.0,16.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2001,109,6.9,5501,78.0,100.0,63.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,134,7.4,4592,88.0,61.0,71.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,89,7.5,13895,70.0,98.0,73.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,80,6.2,173,39.0,7.0,4.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,86,6.2,3306,39.0,44.0,41.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,110,5.9,254,56.0,6.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,157,6.8,92433,65.0,397.0,176.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2001,102,6.1,3776,36.0,77.0,41.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,94,6.3,288,58.0,14.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,95,4.9,37508,32.0,176.0,50.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,144,7.7,358188,74.0,1154.0,219.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2001,102,5.7,53988,44.0,344.0,144.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,126,7.1,142632,63.0,392.0,94.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,108,6.9,34049,45.0,345.0,81.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,129,6.9,2524,72.0,33.0,62.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2001,118,6.1,4991,42.0,65.0,48.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2001,96,4.8,6559,18.0,37.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,102,7.1,3117,82.0,46.0,49.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,97,5.9,280,32.0,11.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,90,5.9,2794,48.0,41.0,32.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2001,87,5.1,55612,47.0,237.0,106.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,109,7.0,2184,81.0,30.0,36.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,90,6.6,196580,48.0,406.0,136.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,104,6.8,146997,51.0,877.0,183.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,6.6,1171,75.0,24.0,48.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,154,6.9,2313,79.0,50.0,66.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,96,4.9,24630,18.0,374.0,143.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2001,102,6.9,6266,54.0,63.0,95.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,96,6.8,136,67.0,3.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,7.2,75365,64.0,508.0,176.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,185,6.5,1838,58.0,48.0,30.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,99,7.8,59916,82.0,517.0,144.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,101,5.6,31636,39.0,243.0,110.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,110,7.6,260939,76.0,985.0,230.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,98,5.7,264,47.0,15.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,99,4.9,4167,49.0,69.0,28.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,119,6.5,16076,70.0,162.0,163.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2001,121,7.1,5838,66.0,44.0,51.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,97,7.1,9454,73.0,110.0,70.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,135,6.9,617,62.0,16.0,19.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,97,6.4,15761,72.0,192.0,112.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,91,5.2,193,35.0,5.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,88,5.5,7990,25.0,49.0,46.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,116,7.5,102236,73.0,457.0,185.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,90,7.3,1756,76.0,12.0,21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,103,6.6,1865,64.0,26.0,36.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,126,7.0,405,70.0,16.0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2001,115,6.9,7767,65.0,45.0,63.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,90,6.9,102107,52.0,401.0,122.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,108,7.1,3135,61.0,40.0,40.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2001,107,5.1,290,50.0,11.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,88,5.8,4529,44.0,72.0,67.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,103,7.1,5405,75.0,30.0,64.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
